brit_id,pth_url,ark,title,date,relation,relation_url,relation_type
BRIT-A-AR003-003-04-177,https://texashistory.unt.edu/ark/67531/metapth1673641,ark/67531/metapth1673641,['[title] BRIT-A-AR003-003-04-177'],['19XX'],,,
BRIT-A-AR003-003-04-181,https://texashistory.unt.edu/ark/67531/metapth1673645,ark/67531/metapth1673645,['[title] BRIT-A-AR003-003-04-181'],['19XX'],,,
BRIT-A-AR003-003-04-183,https://texashistory.unt.edu/ark/67531/metapth1673647,ark/67531/metapth1673647,['[title] BRIT-A-AR003-003-04-183'],['19XX'],,,
BRIT-A-AR003-003-04-180,https://texashistory.unt.edu/ark/67531/metapth1673644,ark/67531/metapth1673644,['[title] BRIT-A-AR003-003-04-180'],['19XX'],,,
BRIT-A-AR003-003-04-186,https://texashistory.unt.edu/ark/67531/metapth1673650,ark/67531/metapth1673650,['[title] BRIT-A-AR003-003-04-186'],['19XX'],,,
BRIT-A-AR003-003-04-185,https://texashistory.unt.edu/ark/67531/metapth1673649,ark/67531/metapth1673649,['[title] BRIT-A-AR003-003-04-185'],['19XX'],,,
BRIT-A-AR003-003-04-190,https://texashistory.unt.edu/ark/67531/metapth1673654,ark/67531/metapth1673654,['[title] BRIT-A-AR003-003-04-190'],['19XX'],,,
BRIT-A-AR003-003-04-189,https://texashistory.unt.edu/ark/67531/metapth1673653,ark/67531/metapth1673653,['[title] BRIT-A-AR003-003-04-189'],['19XX'],,,
BRIT-A-AR003-003-04-191,https://texashistory.unt.edu/ark/67531/metapth1673655,ark/67531/metapth1673655,['[title] BRIT-A-AR003-003-04-191'],['19XX'],,,
BRIT-A-AR003-003-04-192,https://texashistory.unt.edu/ark/67531/metapth1673656,ark/67531/metapth1673656,['[title] BRIT-A-AR003-003-04-192'],['19XX'],,,
BRIT-A-AR003-003-04-194,https://texashistory.unt.edu/ark/67531/metapth1673658,ark/67531/metapth1673658,['[title] BRIT-A-AR003-003-04-194'],['19XX'],,,
BRIT-A-AR003-003-04-195,https://texashistory.unt.edu/ark/67531/metapth1673659,ark/67531/metapth1673659,['[title] BRIT-A-AR003-003-04-195'],['19XX'],,,
BRIT-A-AR003-003-05-002,https://texashistory.unt.edu/ark/67531/metapth1673662,ark/67531/metapth1673662,"['[Gold dredge in Morobe Province, Papua New Guinea]']",['19XX'],,,
BRIT-A-AR003-003-05-001,https://texashistory.unt.edu/ark/67531/metapth1673661,ark/67531/metapth1673661,"['[Unidentified plant close up from Oomsis, Papua New Guinea]']",['19XX'],,,
BRIT-A-AR003-003-05-003,https://texashistory.unt.edu/ark/67531/metapth1673663,ark/67531/metapth1673663,"['[Green Tree Python from Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-05-005,https://texashistory.unt.edu/ark/67531/metapth1673665,ark/67531/metapth1673665,"['[People from Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-04-196,https://texashistory.unt.edu/ark/67531/metapth1673660,ark/67531/metapth1673660,['[title] BRIT-A-AR003-003-04-196'],['19XX'],,,
BRIT-A-AR003-003-05-004,https://texashistory.unt.edu/ark/67531/metapth1673664,ark/67531/metapth1673664,"['[Unidentified plant from Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-05-006,https://texashistory.unt.edu/ark/67531/metapth1673666,ark/67531/metapth1673666,"['[Sulfur-Crested Cockatoo from Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-05-007,https://texashistory.unt.edu/ark/67531/metapth1673667,ark/67531/metapth1673667,"['[Unidentified plant from Morobe Province, Papue New Guinea]']",['1963'],,,
BRIT-A-AR003-003-05-008,https://texashistory.unt.edu/ark/67531/metapth1673668,ark/67531/metapth1673668,"['[Unidentified plant from Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-05-011,https://texashistory.unt.edu/ark/67531/metapth1673671,ark/67531/metapth1673671,"['[Unidentified plant from Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-05-009,https://texashistory.unt.edu/ark/67531/metapth1673669,ark/67531/metapth1673669,"['[Unidentified insect from Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-05-010,https://texashistory.unt.edu/ark/67531/metapth1673670,ark/67531/metapth1673670,"['[Unidentified plant from Morobe Province, Papue New Guinea ]']",['1963'],,,
BRIT-A-AR003-003-05-012,https://texashistory.unt.edu/ark/67531/metapth1673672,ark/67531/metapth1673672,"['[Landscape of tropical rainforest in Morobe Province, Papua New Guinea]']",['1963'],,,
BRIT-A-AR003-003-06-001,https://texashistory.unt.edu/ark/67531/metapth1673863,ark/67531/metapth1673863,"['[Unidentified plant close up in Piora, Australia]']",['[1962..1963]'],,,
BRIT-A-AR003-003-06-002,https://texashistory.unt.edu/ark/67531/metapth1673864,ark/67531/metapth1673864,"['[Unidentified plant close up in Piora, Australia] BRIT-A-AR003-003-06-002']",['[1962..1963]'],,,
BRIT-A-AR003-003-06-006,https://texashistory.unt.edu/ark/67531/metapth1673868,ark/67531/metapth1673868,"['[Ranunculus Goroka District, Papua New Guinea] BRIT-A-AR003-003-06-006']",['1963-03~'],,,
BRIT-A-AR003-003-06-004,https://texashistory.unt.edu/ark/67531/metapth1673866,ark/67531/metapth1673866,"['[Undefined plant in Piora, Australia] BRIT-A-AR003-003-06-004']",['[1962..1963]'],,,
